RT @EgyTweets RT @CandiCunningham: There are more pyramids in Peru than in Egypt #coolfacts	[u'http://en.wikipedia.org/wiki/Peru', u'http://en.wikipedia.org/wiki/Egypt']
6 - Udinese have scored two or more goals in each of their last six league fixtures, including today's match against Inter. Good form	[u'http://en.wikipedia.org/wiki/Udinese_Calcio', u'http://en.wikipedia.org/wiki/Inter_Milan']
Manchester United manager Sir Alex Ferguson pushes Wayne Rooney to match ... - Goal.com http://bit.ly/fe4vrg	[u'http://en.wikipedia.org/wiki/Manchester_United_F.C.', u'http://en.wikipedia.org/wiki/Alex_Ferguson', u'http://en.wikipedia.org/wiki/Wayne_Rooney']
Francesca Schiavone made history today as she was part of the longest women's match in Grand Slam history,... http://tinyurl.com/45679qn	[u'http://en.wikipedia.org/wiki/Francesca_Schiavone', u'http://en.wikipedia.org/wiki/Grand_Slam_%28tennis%29']
Blackburn 1-0 West Brom at the break - half time match report here: http://bit.ly/igWFDk	[u'http://en.wikipedia.org/wiki/Blackburn', u'http://en.wikipedia.org/wiki/West_Bromwich_Albion_F.C.']
Jacqueline Obradors - IMDb: Jacqueline Obradors, Actress: Six Days Seven Nights. Born in the San Fernando ... http://tinyurl.com/4qhagdq	[u'http://en.wikipedia.org/wiki/Jacqueline_Obradors', u'http://en.wikipedia.org/wiki/Jacqueline_Obradors', u'http://en.wikipedia.org/wiki/San_Fernando%2C_C%C3%A1diz']
And the recap in English: Handball World Championships - Denmark beat Argentina 31-24 and are ready for the semis with one group match left!	[u'http://en.wikipedia.org/wiki/English_language', u'http://en.wikipedia.org/wiki/Denmark', u'http://en.wikipedia.org/wiki/Argentina']
Half time: Sampdoria 0-0 Juventus..... Dry match......... *yawns*	[u'http://en.wikipedia.org/wiki/U.C._Sampdoria']
Mark Schwarzer is one match away from equalling Alex Tobin's 87 #Socceroos caps record! #ac2011	[u'http://en.wikipedia.org/wiki/Mark_Schwarzer', u'http://en.wikipedia.org/wiki/Alex_Tobin']
Schiavone wins marathon match at Australian Open: Rob Griffith / AP Italy's Francesca Schiavone celebrates a poi... http://bit.ly/eg0vQZ	[u'http://en.wikipedia.org/wiki/Francesca_Schiavone', u'http://en.wikipedia.org/wiki/Australian_Open', u'http://en.wikipedia.org/wiki/Italy', u'http://en.wikipedia.org/wiki/Francesca_Schiavone']
Glee Stars Party In Las Vegas For Rivera's Birthday:  http://imdb.to/i8Zbp6 [IMDb movie news]	[u'http://en.wikipedia.org/wiki/Mariano_Rivera']
Sky News understands that Richard Keys and Andy Gray are to be stood down from covering Chelsea - Bolton match tonight.	[u'http://en.wikipedia.org/wiki/Richard_Keys', u'http://en.wikipedia.org/wiki/Andy_Gray_%28actor%29', u'http://en.wikipedia.org/wiki/Chelsea_F.C.', u'http://en.wikipedia.org/wiki/Bolton']
Keith Olbermann has left MSNBC, effective immediately. http://imdb.to/eDAQTv	[u'http://en.wikipedia.org/wiki/Keith_Olbermann', u'http://en.wikipedia.org/wiki/MSNBC']
Explosion has killed 20 and injured 35 near the Shia city of Kerbala in Iraq	[u'http://en.wikipedia.org/wiki/Shia_Islam_in_Lebanon', u'http://en.wikipedia.org/wiki/Karbala']
Real Madrid - Sevilla Copa history. The Whites have won seven of eleven matches and the two most recent semifinal ties	[u'http://en.wikipedia.org/wiki/Real_Madrid_C.F.', u'http://en.wikipedia.org/wiki/Sevilla_FC']
Sydney FC accepts Reddy ban - Liam Reddy will miss Sydney FC's next two A-League matches after the club accepted his... http://ow.ly/1b0ZrY	[u'http://en.wikipedia.org/wiki/Sydney', u'http://en.wikipedia.org/wiki/Reddy', u'http://en.wikipedia.org/wiki/Liam_Reddy', u'http://en.wikipedia.org/wiki/Sydney_FC']
Hosni Albarek :) RT @ouchem : Hosni Mubarak Assumed office 29 years and 103 days ago @25Egypt #25jan #Egypt	[u'http://en.wikipedia.org/wiki/Hosni_Mubarak']
Why not do this, Mr. President? End the wars in Iraq and Afghanistan.	[u'http://en.wikipedia.org/wiki/President_of_the_United_States', u'http://en.wikipedia.org/wiki/Iraq', u'http://en.wikipedia.org/wiki/Afghanistan']
Naomi Watts joins the cast of Clint Eastwood's 'J. Edgar', w/ Leonardo DiCaprio, Armie Hammer & Ed Westwick. http://imdb.to/glh13F	[u'http://en.wikipedia.org/wiki/Naomi_Watts', u'http://en.wikipedia.org/wiki/Clint_Eastwood', u'http://en.wikipedia.org/wiki/J._Edgar', u'http://en.wikipedia.org/wiki/Leonardo_DiCaprio']
Closed-captioning "A Night in the Life of Jimmy Reardon" (1988) with River Phoenix http://www.imdb.com/title/tt0095736/	[u'http://en.wikipedia.org/wiki/A_Night_in_the_Life_of_Jimmy_Reardon', u'http://en.wikipedia.org/wiki/River_Phoenix']
Check out IMDb's video interview with Sir Anthony Hopkins, as he discusses his latest film, 'The Rite'. http://imdb.to/e4PnLB	[u'http://en.wikipedia.org/wiki/Anthony_Hopkins']
@mmflint And if they're worried about Egypt becoming unstable over Mubarak getting the boot, then what justification was there for Iraq?	[u'http://en.wikipedia.org/wiki/Egypt', u'http://en.wikipedia.org/wiki/Hosni_Mubarak', u'http://en.wikipedia.org/wiki/Iraq']
Steve Buscemi just won the first SAG Award of the night for Boardwalk Empire. We're updating the winners live! http://imdb.to/gPpKZ6	[u'http://en.wikipedia.org/wiki/Steve_Buscemi']
RT @amaramacleod: The International community must demand that #Mubarak steps down. He must negotiate the transition with #ElBaradie	[]
Happy Birthday Michael C. Hall! http://imdb.to/gbM5Bm #borntoday #dexter	[u'http://en.wikipedia.org/wiki/Michael_C._Hall']
RT @IMDb Joseph Gordon-Levitt is joining Christopher Nolan's The Dark Knight rises; he may be The Riddler. http://imdb.to/gNaSRG	[u'http://en.wikipedia.org/wiki/Joseph_Gordon-Levitt', u'http://en.wikipedia.org/wiki/Christopher_Nolan']
Joseph Gordon-Levitt is joining Christopher Nolan's The Dark Knight rises; rumor has it he may be The Riddler. http://imdb.to/gNaSRG	[u'http://en.wikipedia.org/wiki/Joseph_Gordon-Levitt', u'http://en.wikipedia.org/wiki/Christopher_Nolan']
I'm watching Match of the Day! Man City's defending at times reminded me of Arsenal's defending! Shocking! #Fail	[u'http://en.wikipedia.org/wiki/Manchester_City_F.C.', u'http://en.wikipedia.org/wiki/Arsenal_F.C.']
